=== SEEDER RUN STARTED Sun Apr  5 12:24:07 EDT 2026 ===

=== PHASE 1: Cross-seed from pricing models ===
Started: Sun Apr  5 12:24:07 EDT 2026
Cities: 739 | Services: roofing, hvac, plumbing, electrical, solar | Max: all
  SEED Dothan, AL [hvac] = $8,100 (trust=90)
  SEED Tuscaloosa, AL [roofing] = $10,900 (trust=90)
  SEED Tuscaloosa, AL [hvac] = $8,700 (trust=90)
  SEED Tuscaloosa, AL [plumbing] = $2,300 (trust=90)
  SEED Tuscaloosa, AL [electrical] = $2,400 (trust=90)
  SEED Tuscaloosa, AL [solar] = $26,700 (trust=90)
  SEED Anchorage, AK [roofing] = $15,100 (trust=90)
  SEED Anchorage, AK [hvac] = $13,100 (trust=90)
  SEED Anchorage, AK [plumbing] = $3,200 (trust=90)
  SEED Anchorage, AK [electrical] = $3,100 (trust=90)
  SEED Anchorage, AK [solar] = $35,300 (trust=90)
  SEED Apache Junction, AZ [roofing] = $12,500 (trust=90)
  SEED Apache Junction, AZ [hvac] = $10,000 (trust=90)
  SEED Apache Junction, AZ [plumbing] = $2,700 (trust=90)
  SEED Apache Junction, AZ [electrical] = $2,700 (trust=90)
  SEED Apache Junction, AZ [solar] = $30,300 (trust=90)
  SEED Avondale, AZ [roofing] = $12,500 (trust=90)
  SEED Avondale, AZ [hvac] = $10,000 (trust=90)
  SEED Avondale, AZ [plumbing] = $2,700 (trust=90)
  SEED Avondale, AZ [electrical] = $2,700 (trust=90)
  SEED Avondale, AZ [solar] = $30,300 (trust=90)
  SEED Buckeye, AZ [roofing] = $12,500 (trust=90)
  SEED Buckeye, AZ [hvac] = $10,000 (trust=90)
  SEED Buckeye, AZ [plumbing] = $2,700 (trust=90)
  SEED Buckeye, AZ [electrical] = $2,700 (trust=90)
  SEED Buckeye, AZ [solar] = $30,300 (trust=90)
  SEED Bullhead City, AZ [roofing] = $12,400 (trust=90)
  SEED Bullhead City, AZ [hvac] = $9,900 (trust=90)
  SEED Bullhead City, AZ [plumbing] = $2,700 (trust=90)
  SEED Bullhead City, AZ [electrical] = $2,600 (trust=90)
  SEED Bullhead City, AZ [solar] = $29,900 (trust=90)
  SEED Casa Grande, AZ [roofing] = $12,500 (trust=90)
  SEED Casa Grande, AZ [hvac] = $10,000 (trust=90)
  SEED Casa Grande, AZ [plumbing] = $2,700 (trust=90)
  SEED Casa Grande, AZ [electrical] = $2,700 (trust=90)
  SEED Casa Grande, AZ [solar] = $30,300 (trust=90)
  SEED Chandler, AZ [roofing] = $12,500 (trust=90)
  SEED Chandler, AZ [hvac] = $10,000 (trust=90)
  SEED Chandler, AZ [plumbing] = $2,700 (trust=90)
  SEED Chandler, AZ [electrical] = $2,700 (trust=90)
  SEED Chandler, AZ [solar] = $30,300 (trust=90)
  SEED Flagstaff, AZ [roofing] = $12,400 (trust=90)
  SEED Flagstaff, AZ [hvac] = $9,600 (trust=90)
  SEED Flagstaff, AZ [plumbing] = $2,500 (trust=90)
  SEED Flagstaff, AZ [electrical] = $2,600 (trust=90)
  SEED Flagstaff, AZ [solar] = $29,600 (trust=90)
  SEED Gilbert, AZ [roofing] = $12,500 (trust=90)
  SEED Gilbert, AZ [hvac] = $10,000 (trust=90)
  SEED Gilbert, AZ [plumbing] = $2,700 (trust=90)
  SEED Gilbert, AZ [electrical] = $2,700 (trust=90)
  SEED Gilbert, AZ [solar] = $30,300 (trust=90)
  SEED Glendale, AZ [roofing] = $12,500 (trust=90)
  SEED Glendale, AZ [hvac] = $10,000 (trust=90)
  SEED Glendale, AZ [plumbing] = $2,700 (trust=90)
  SEED Glendale, AZ [electrical] = $2,700 (trust=90)
  SEED Glendale, AZ [solar] = $30,300 (trust=90)
  SEED Goodyear, AZ [roofing] = $12,500 (trust=90)
  SEED Goodyear, AZ [hvac] = $10,000 (trust=90)
  SEED Goodyear, AZ [plumbing] = $2,700 (trust=90)
  SEED Goodyear, AZ [electrical] = $2,700 (trust=90)
  SEED Goodyear, AZ [solar] = $30,300 (trust=90)
  SEED Lake Havasu City, AZ [roofing] = $12,400 (trust=90)
  SEED Lake Havasu City, AZ [hvac] = $9,900 (trust=90)
  SEED Lake Havasu City, AZ [plumbing] = $2,700 (trust=90)
  SEED Lake Havasu City, AZ [electrical] = $2,600 (trust=90)
  SEED Lake Havasu City, AZ [solar] = $29,900 (trust=90)
  SEED Marana, AZ [roofing] = $11,600 (trust=90)
  SEED Marana, AZ [hvac] = $9,000 (trust=90)
  SEED Marana, AZ [plumbing] = $2,500 (trust=90)
  SEED Marana, AZ [electrical] = $2,500 (trust=90)
  SEED Marana, AZ [solar] = $28,400 (trust=90)
  SEED Maricopa, AZ [roofing] = $12,500 (trust=90)
  SEED Maricopa, AZ [hvac] = $10,000 (trust=90)
  SEED Maricopa, AZ [plumbing] = $2,700 (trust=90)
  SEED Maricopa, AZ [electrical] = $2,700 (trust=90)
  SEED Maricopa, AZ [solar] = $30,300 (trust=90)
  SEED Mesa, AZ [hvac] = $10,000 (trust=90)
  SEED Mesa, AZ [plumbing] = $2,700 (trust=90)
  SEED Mesa, AZ [electrical] = $2,700 (trust=90)
  SEED Mesa, AZ [solar] = $30,300 (trust=90)
  SEED Oro Valley, AZ [roofing] = $11,600 (trust=90)
  SEED Oro Valley, AZ [hvac] = $9,000 (trust=90)
  SEED Oro Valley, AZ [plumbing] = $2,500 (trust=90)
  SEED Oro Valley, AZ [electrical] = $2,500 (trust=90)
  SEED Oro Valley, AZ [solar] = $28,400 (trust=90)
  SEED Peoria, AZ [roofing] = $12,500 (trust=90)
  SEED Peoria, AZ [hvac] = $10,000 (trust=90)
  SEED Peoria, AZ [plumbing] = $2,700 (trust=90)
  SEED Peoria, AZ [electrical] = $2,700 (trust=90)
  SEED Peoria, AZ [solar] = $30,300 (trust=90)
  SEED Prescott, AZ [roofing] = $12,100 (trust=90)
  SEED Prescott, AZ [hvac] = $9,300 (trust=90)
  SEED Prescott, AZ [plumbing] = $2,500 (trust=90)
  SEED Prescott, AZ [electrical] = $2,600 (trust=90)
  SEED Prescott, AZ [solar] = $29,700 (trust=90)
  SEED Prescott Valley, AZ [roofing] = $12,100 (trust=90)
  SEED Prescott Valley, AZ [hvac] = $9,300 (trust=90)
  SEED Prescott Valley, AZ [plumbing] = $2,500 (trust=90)
  SEED Prescott Valley, AZ [electrical] = $2,600 (trust=90)
  SEED Prescott Valley, AZ [solar] = $29,700 (trust=90)
  SEED Scottsdale, AZ [roofing] = $12,500 (trust=90)
  SEED Scottsdale, AZ [hvac] = $10,000 (trust=90)
  SEED Scottsdale, AZ [plumbing] = $2,700 (trust=90)
  SEED Scottsdale, AZ [electrical] = $2,700 (trust=90)
  SEED Scottsdale, AZ [solar] = $30,300 (trust=90)
  SEED Sierra Vista, AZ [roofing] = $11,500 (trust=90)
  SEED Sierra Vista, AZ [hvac] = $8,900 (trust=90)
  SEED Sierra Vista, AZ [plumbing] = $2,300 (trust=90)
  SEED Sierra Vista, AZ [electrical] = $2,400 (trust=90)
  SEED Sierra Vista, AZ [solar] = $27,200 (trust=90)
  SEED Surprise, AZ [roofing] = $12,500 (trust=90)
  SEED Surprise, AZ [hvac] = $10,000 (trust=90)
  SEED Surprise, AZ [plumbing] = $2,700 (trust=90)
  SEED Surprise, AZ [electrical] = $2,700 (trust=90)
  SEED Surprise, AZ [solar] = $30,300 (trust=90)
  SEED Tempe, AZ [roofing] = $12,500 (trust=90)
  SEED Tempe, AZ [hvac] = $10,000 (trust=90)
  SEED Tempe, AZ [plumbing] = $2,700 (trust=90)
  SEED Tempe, AZ [electrical] = $2,700 (trust=90)
  SEED Tempe, AZ [solar] = $30,300 (trust=90)
  SEED Tucson, AZ [roofing] = $11,600 (trust=90)
  SEED Tucson, AZ [hvac] = $9,000 (trust=90)
  SEED Tucson, AZ [plumbing] = $2,500 (trust=90)
  SEED Tucson, AZ [electrical] = $2,500 (trust=90)
  SEED Yuma, AZ [roofing] = $10,600 (trust=90)
  SEED Yuma, AZ [hvac] = $8,700 (trust=90)
  SEED Yuma, AZ [plumbing] = $2,300 (trust=90)
  SEED Yuma, AZ [electrical] = $2,400 (trust=90)
  SEED Yuma, AZ [solar] = $27,400 (trust=90)
  SEED Bentonville, AR [roofing] = $11,300 (trust=90)
  SEED Bentonville, AR [hvac] = $8,600 (trust=90)
  SEED Bentonville, AR [plumbing] = $2,300 (trust=90)
  SEED Bentonville, AR [electrical] = $2,300 (trust=90)
  SEED Bentonville, AR [solar] = $26,300 (trust=90)
  SEED Conway, AR [roofing] = $10,400 (trust=90)
  SEED Conway, AR [hvac] = $8,300 (trust=90)
  SEED Conway, AR [plumbing] = $2,300 (trust=90)
  SEED Conway, AR [electrical] = $2,200 (trust=90)
  SEED Conway, AR [solar] = $25,200 (trust=90)
  SEED Fayetteville, AR [roofing] = $11,300 (trust=90)
  SEED Fayetteville, AR [hvac] = $8,600 (trust=90)
  SEED Fayetteville, AR [plumbing] = $2,300 (trust=90)
  SEED Fayetteville, AR [electrical] = $2,300 (trust=90)
  SEED Fayetteville, AR [solar] = $26,300 (trust=90)
  SEED Fort Smith, AR [roofing] = $10,500 (trust=90)
  SEED Fort Smith, AR [hvac] = $8,200 (trust=90)
  SEED Fort Smith, AR [plumbing] = $2,200 (trust=90)
  SEED Fort Smith, AR [electrical] = $2,200 (trust=90)
  SEED Fort Smith, AR [solar] = $24,700 (trust=90)
  SEED Jonesboro, AR [roofing] = $10,200 (trust=90)
  SEED Jonesboro, AR [hvac] = $8,100 (trust=90)
  SEED Jonesboro, AR [plumbing] = $2,200 (trust=90)
  SEED Jonesboro, AR [electrical] = $2,200 (trust=90)
  SEED Jonesboro, AR [solar] = $25,100 (trust=90)
  SEED Little Rock, AR [roofing] = $10,400 (trust=90)
  SEED Little Rock, AR [plumbing] = $2,300 (trust=90)
  SEED Little Rock, AR [electrical] = $2,200 (trust=90)
  SEED Little Rock, AR [solar] = $25,200 (trust=90)
  SEED North Little Rock, AR [roofing] = $10,400 (trust=90)
  SEED North Little Rock, AR [hvac] = $8,300 (trust=90)
  SEED North Little Rock, AR [plumbing] = $2,300 (trust=90)
  SEED North Little Rock, AR [electrical] = $2,200 (trust=90)
  SEED North Little Rock, AR [solar] = $25,200 (trust=90)
  SEED Pine Bluff, AR [roofing] = $11,300 (trust=90)
  SEED Pine Bluff, AR [hvac] = $8,600 (trust=90)
  SEED Pine Bluff, AR [plumbing] = $2,300 (trust=90)
  SEED Pine Bluff, AR [electrical] = $2,300 (trust=90)
  SEED Pine Bluff, AR [solar] = $26,300 (trust=90)
  SEED Rogers, AR [roofing] = $11,300 (trust=90)
  SEED Rogers, AR [hvac] = $8,600 (trust=90)
  SEED Rogers, AR [plumbing] = $2,300 (trust=90)
  SEED Rogers, AR [electrical] = $2,300 (trust=90)
  SEED Rogers, AR [solar] = $26,300 (trust=90)
  SEED Springdale, AR [roofing] = $11,300 (trust=90)
  SEED Springdale, AR [hvac] = $8,600 (trust=90)
  SEED Springdale, AR [plumbing] = $2,300 (trust=90)
  SEED Springdale, AR [electrical] = $2,300 (trust=90)
  SEED Springdale, AR [solar] = $26,300 (trust=90)
  SEED Anaheim, CA [roofing] = $15,400 (trust=90)
  SEED Anaheim, CA [hvac] = $11,700 (trust=90)
  SEED Anaheim, CA [plumbing] = $3,000 (trust=90)
  SEED Anaheim, CA [electrical] = $3,200 (trust=90)
  SEED Anaheim, CA [solar] = $36,000 (trust=90)
  SEED Bakersfield, CA [roofing] = $14,400 (trust=90)
  SEED Bakersfield, CA [hvac] = $11,000 (trust=90)
  SEED Bakersfield, CA [plumbing] = $3,000 (trust=90)
  SEED Bakersfield, CA [electrical] = $3,000 (trust=90)
  SEED Bakersfield, CA [solar] = $34,100 (trust=90)
... 50/739 cities processed (225 seeded, 25 skipped)
  SEED Chula Vista, CA [roofing] = $15,300 (trust=90)
  SEED Chula Vista, CA [hvac] = $12,000 (trust=90)
  SEED Chula Vista, CA [plumbing] = $3,000 (trust=90)
  SEED Chula Vista, CA [electrical] = $3,100 (trust=90)
  SEED Chula Vista, CA [solar] = $35,600 (trust=90)
  SEED Corona, CA [roofing] = $14,700 (trust=90)
  SEED Corona, CA [hvac] = $11,100 (trust=90)
  SEED Corona, CA [plumbing] = $2,800 (trust=90)
  SEED Corona, CA [electrical] = $3,000 (trust=90)
  SEED Corona, CA [solar] = $34,500 (trust=90)
  SEED Elk Grove, CA [roofing] = $15,100 (trust=90)
  SEED Elk Grove, CA [hvac] = $11,300 (trust=90)
  SEED Elk Grove, CA [plumbing] = $2,900 (trust=90)
  SEED Elk Grove, CA [electrical] = $3,100 (trust=90)
  SEED Elk Grove, CA [solar] = $35,200 (trust=90)
  SEED Escondido, CA [roofing] = $15,300 (trust=90)
  SEED Escondido, CA [hvac] = $12,000 (trust=90)
  SEED Escondido, CA [plumbing] = $3,000 (trust=90)
  SEED Escondido, CA [electrical] = $3,100 (trust=90)
  SEED Escondido, CA [solar] = $35,600 (trust=90)
  SEED Fontana, CA [roofing] = $14,700 (trust=90)
  SEED Fontana, CA [hvac] = $11,100 (trust=90)
  SEED Fontana, CA [plumbing] = $2,800 (trust=90)
  SEED Fontana, CA [electrical] = $3,000 (trust=90)
  SEED Fontana, CA [solar] = $34,500 (trust=90)
  SEED Fremont, CA [roofing] = $17,500 (trust=90)
  SEED Fremont, CA [hvac] = $13,100 (trust=90)
  SEED Fremont, CA [plumbing] = $3,300 (trust=90)
  SEED Fremont, CA [electrical] = $3,600 (trust=90)
  SEED Fremont, CA [solar] = $41,500 (trust=90)
  SEED Fresno, CA [roofing] = $14,400 (trust=90)
  SEED Fresno, CA [hvac] = $10,800 (trust=90)
  SEED Fresno, CA [plumbing] = $2,800 (trust=90)
  SEED Fresno, CA [electrical] = $2,900 (trust=90)
  SEED Fresno, CA [solar] = $32,800 (trust=90)
  SEED Garden Grove, CA [roofing] = $15,400 (trust=90)
  SEED Garden Grove, CA [hvac] = $11,700 (trust=90)
  SEED Garden Grove, CA [plumbing] = $3,000 (trust=90)
  SEED Garden Grove, CA [electrical] = $3,200 (trust=90)
  SEED Garden Grove, CA [solar] = $36,000 (trust=90)
  SEED Glendale, CA [roofing] = $15,400 (trust=90)
  SEED Glendale, CA [hvac] = $11,700 (trust=90)
  SEED Glendale, CA [plumbing] = $3,000 (trust=90)
  SEED Glendale, CA [electrical] = $3,200 (trust=90)
  SEED Glendale, CA [solar] = $36,000 (trust=90)
  SEED Hayward, CA [roofing] = $17,500 (trust=90)
  SEED Hayward, CA [hvac] = $13,100 (trust=90)
  SEED Hayward, CA [plumbing] = $3,300 (trust=90)
  SEED Hayward, CA [electrical] = $3,600 (trust=90)
  SEED Hayward, CA [solar] = $41,500 (trust=90)
  SEED Huntington Beach, CA [roofing] = $15,400 (trust=90)
  SEED Huntington Beach, CA [hvac] = $11,700 (trust=90)
  SEED Huntington Beach, CA [plumbing] = $3,000 (trust=90)
  SEED Huntington Beach, CA [electrical] = $3,200 (trust=90)
  SEED Huntington Beach, CA [solar] = $36,000 (trust=90)
  SEED Irvine, CA [roofing] = $15,400 (trust=90)
  SEED Irvine, CA [hvac] = $11,700 (trust=90)
  SEED Irvine, CA [plumbing] = $3,000 (trust=90)
  SEED Irvine, CA [electrical] = $3,200 (trust=90)
  SEED Irvine, CA [solar] = $36,000 (trust=90)
  SEED Lancaster, CA [roofing] = $15,400 (trust=90)
  SEED Lancaster, CA [hvac] = $11,700 (trust=90)
  SEED Lancaster, CA [plumbing] = $3,000 (trust=90)
  SEED Lancaster, CA [electrical] = $3,200 (trust=90)
  SEED Lancaster, CA [solar] = $36,000 (trust=90)
  SEED Long Beach, CA [roofing] = $15,400 (trust=90)
  SEED Long Beach, CA [plumbing] = $3,000 (trust=90)
  SEED Long Beach, CA [electrical] = $3,200 (trust=90)
  SEED Long Beach, CA [solar] = $36,000 (trust=90)
  SEED Modesto, CA [roofing] = $14,700 (trust=90)
  SEED Modesto, CA [hvac] = $11,100 (trust=90)
  SEED Modesto, CA [plumbing] = $2,800 (trust=90)
  SEED Modesto, CA [electrical] = $3,000 (trust=90)
  SEED Modesto, CA [solar] = $34,500 (trust=90)
  SEED Moreno Valley, CA [roofing] = $14,700 (trust=90)
  SEED Moreno Valley, CA [hvac] = $11,100 (trust=90)
  SEED Moreno Valley, CA [plumbing] = $2,800 (trust=90)
  SEED Moreno Valley, CA [electrical] = $3,000 (trust=90)
  SEED Moreno Valley, CA [solar] = $34,500 (trust=90)
  SEED Oakland, CA [roofing] = $17,500 (trust=90)
  SEED Oakland, CA [hvac] = $13,100 (trust=90)
  SEED Oakland, CA [plumbing] = $3,300 (trust=90)
  SEED Oakland, CA [solar] = $41,500 (trust=90)
  SEED Oceanside, CA [roofing] = $15,300 (trust=90)
  SEED Oceanside, CA [hvac] = $12,000 (trust=90)
  SEED Oceanside, CA [plumbing] = $3,000 (trust=90)
  SEED Oceanside, CA [electrical] = $3,100 (trust=90)
  SEED Oceanside, CA [solar] = $35,600 (trust=90)
  SEED Ontario, CA [roofing] = $14,700 (trust=90)
  SEED Ontario, CA [hvac] = $11,100 (trust=90)
  SEED Ontario, CA [plumbing] = $2,800 (trust=90)
  SEED Ontario, CA [electrical] = $3,000 (trust=90)
  SEED Ontario, CA [solar] = $34,500 (trust=90)
  SEED Orange, CA [roofing] = $15,400 (trust=90)
  SEED Orange, CA [hvac] = $11,700 (trust=90)
  SEED Orange, CA [plumbing] = $3,000 (trust=90)
  SEED Orange, CA [electrical] = $3,200 (trust=90)
  SEED Orange, CA [solar] = $36,000 (trust=90)
  SEED Oxnard, CA [roofing] = $14,800 (trust=90)
  SEED Oxnard, CA [hvac] = $10,800 (trust=90)
  SEED Oxnard, CA [plumbing] = $2,900 (trust=90)
  SEED Oxnard, CA [electrical] = $3,000 (trust=90)
  SEED Oxnard, CA [solar] = $34,700 (trust=90)
  SEED Palmdale, CA [roofing] = $15,400 (trust=90)
  SEED Palmdale, CA [hvac] = $11,700 (trust=90)
  SEED Palmdale, CA [plumbing] = $3,000 (trust=90)
  SEED Palmdale, CA [electrical] = $3,200 (trust=90)
  SEED Palmdale, CA [solar] = $36,000 (trust=90)
  SEED Pomona, CA [roofing] = $15,400 (trust=90)
  SEED Pomona, CA [hvac] = $11,700 (trust=90)
  SEED Pomona, CA [plumbing] = $3,000 (trust=90)
  SEED Pomona, CA [electrical] = $3,200 (trust=90)
  SEED Pomona, CA [solar] = $36,000 (trust=90)
  SEED Rancho Cucamonga, CA [roofing] = $14,700 (trust=90)
  SEED Rancho Cucamonga, CA [hvac] = $11,100 (trust=90)
  SEED Rancho Cucamonga, CA [plumbing] = $2,800 (trust=90)
  SEED Rancho Cucamonga, CA [electrical] = $3,000 (trust=90)
  SEED Rancho Cucamonga, CA [solar] = $34,500 (trust=90)
  SEED Riverside, CA [roofing] = $14,700 (trust=90)
  SEED Riverside, CA [hvac] = $11,100 (trust=90)
  SEED Riverside, CA [plumbing] = $2,800 (trust=90)
  SEED Riverside, CA [electrical] = $3,000 (trust=90)
  SEED Sacramento, CA [plumbing] = $2,900 (trust=90)
  SEED Sacramento, CA [electrical] = $3,100 (trust=90)
  SEED Salinas, CA [roofing] = $15,400 (trust=90)
  SEED Salinas, CA [hvac] = $11,900 (trust=90)
  SEED Salinas, CA [plumbing] = $2,900 (trust=90)
  SEED Salinas, CA [electrical] = $3,100 (trust=90)
  SEED Salinas, CA [solar] = $35,500 (trust=90)
  SEED San Bernardino, CA [roofing] = $14,700 (trust=90)
  SEED San Bernardino, CA [hvac] = $11,100 (trust=90)
  SEED San Bernardino, CA [plumbing] = $2,800 (trust=90)
  SEED San Bernardino, CA [electrical] = $3,000 (trust=90)
  SEED San Bernardino, CA [solar] = $34,500 (trust=90)
  SEED San Diego, CA [plumbing] = $3,000 (trust=90)
  SEED San Diego, CA [electrical] = $3,100 (trust=90)
  SEED San Diego, CA [solar] = $35,600 (trust=90)
  SEED San Francisco, CA [plumbing] = $3,300 (trust=90)
  SEED San Jose, CA [hvac] = $13,800 (trust=90)
  SEED San Jose, CA [plumbing] = $3,500 (trust=90)
  SEED San Jose, CA [electrical] = $3,600 (trust=90)
  SEED San Jose, CA [solar] = $40,500 (trust=90)
  SEED Santa Ana, CA [roofing] = $15,400 (trust=90)
  SEED Santa Ana, CA [plumbing] = $3,000 (trust=90)
  SEED Santa Ana, CA [electrical] = $3,200 (trust=90)
  SEED Santa Clarita, CA [roofing] = $15,400 (trust=90)
  SEED Santa Clarita, CA [hvac] = $11,700 (trust=90)
  SEED Santa Clarita, CA [plumbing] = $3,000 (trust=90)
  SEED Santa Clarita, CA [electrical] = $3,200 (trust=90)
  SEED Santa Rosa, CA [roofing] = $15,400 (trust=90)
  SEED Santa Rosa, CA [hvac] = $11,800 (trust=90)
  SEED Santa Rosa, CA [plumbing] = $3,000 (trust=90)
  SEED Santa Rosa, CA [electrical] = $3,200 (trust=90)
  SEED Stockton, CA [roofing] = $14,600 (trust=90)
  SEED Stockton, CA [hvac] = $11,200 (trust=90)
  SEED Stockton, CA [plumbing] = $2,800 (trust=90)
  SEED Stockton, CA [electrical] = $3,000 (trust=90)
  SEED Stockton, CA [solar] = $33,900 (trust=90)
  SEED Sunnyvale, CA [roofing] = $17,500 (trust=90)
  SEED Sunnyvale, CA [hvac] = $13,800 (trust=90)
  SEED Sunnyvale, CA [plumbing] = $3,500 (trust=90)
  SEED Sunnyvale, CA [electrical] = $3,600 (trust=90)
  SEED Sunnyvale, CA [solar] = $40,500 (trust=90)
  SEED Torrance, CA [roofing] = $15,400 (trust=90)
  SEED Torrance, CA [hvac] = $11,700 (trust=90)
  SEED Torrance, CA [plumbing] = $3,000 (trust=90)
  SEED Torrance, CA [electrical] = $3,200 (trust=90)
  SEED Torrance, CA [solar] = $36,000 (trust=90)
  SEED Arvada, CO [roofing] = $13,600 (trust=90)
  SEED Arvada, CO [hvac] = $10,700 (trust=90)
  SEED Arvada, CO [plumbing] = $2,800 (trust=90)
  SEED Arvada, CO [electrical] = $2,800 (trust=90)
  SEED Arvada, CO [solar] = $31,300 (trust=90)
  SEED Aurora, CO [roofing] = $13,600 (trust=90)
  SEED Aurora, CO [hvac] = $10,700 (trust=90)
  SEED Aurora, CO [plumbing] = $2,800 (trust=90)
  SEED Aurora, CO [electrical] = $2,800 (trust=90)
  SEED Aurora, CO [solar] = $31,300 (trust=90)
  SEED Boulder, CO [roofing] = $13,600 (trust=90)
  SEED Boulder, CO [hvac] = $10,700 (trust=90)
  SEED Boulder, CO [plumbing] = $2,900 (trust=90)
  SEED Boulder, CO [electrical] = $2,700 (trust=90)
  SEED Boulder, CO [solar] = $31,000 (trust=90)
  SEED Broomfield, CO [roofing] = $13,600 (trust=90)
  SEED Broomfield, CO [hvac] = $10,700 (trust=90)
  SEED Broomfield, CO [plumbing] = $2,800 (trust=90)
  SEED Broomfield, CO [electrical] = $2,800 (trust=90)
  SEED Broomfield, CO [solar] = $31,300 (trust=90)
  SEED Castle Rock, CO [roofing] = $13,600 (trust=90)
  SEED Castle Rock, CO [hvac] = $10,700 (trust=90)
  SEED Castle Rock, CO [plumbing] = $2,800 (trust=90)
  SEED Castle Rock, CO [electrical] = $2,800 (trust=90)
  SEED Castle Rock, CO [solar] = $31,300 (trust=90)
  SEED Centennial, CO [roofing] = $13,600 (trust=90)
  SEED Centennial, CO [hvac] = $10,700 (trust=90)
  SEED Centennial, CO [plumbing] = $2,800 (trust=90)
  SEED Centennial, CO [electrical] = $2,800 (trust=90)
  SEED Centennial, CO [solar] = $31,300 (trust=90)
  SEED Colorado Springs, CO [hvac] = $9,900 (trust=90)
  SEED Colorado Springs, CO [plumbing] = $2,700 (trust=90)
  SEED Colorado Springs, CO [electrical] = $2,600 (trust=90)
  SEED Colorado Springs, CO [solar] = $29,700 (trust=90)
  SEED Commerce City, CO [roofing] = $13,600 (trust=90)
  SEED Commerce City, CO [hvac] = $10,700 (trust=90)
  SEED Commerce City, CO [plumbing] = $2,800 (trust=90)
  SEED Commerce City, CO [electrical] = $2,800 (trust=90)
  SEED Commerce City, CO [solar] = $31,300 (trust=90)
  SEED Denver, CO [plumbing] = $2,800 (trust=90)
  SEED Fort Collins, CO [roofing] = $12,700 (trust=90)
  SEED Fort Collins, CO [hvac] = $10,100 (trust=90)
  SEED Fort Collins, CO [plumbing] = $2,700 (trust=90)
  SEED Fort Collins, CO [electrical] = $2,600 (trust=90)
  SEED Fort Collins, CO [solar] = $29,900 (trust=90)
  SEED Grand Junction, CO [roofing] = $12,000 (trust=90)
  SEED Grand Junction, CO [plumbing] = $2,500 (trust=90)
  SEED Grand Junction, CO [electrical] = $2,500 (trust=90)
  SEED Grand Junction, CO [solar] = $28,000 (trust=90)
  SEED Greeley, CO [roofing] = $12,400 (trust=90)
  SEED Greeley, CO [hvac] = $9,900 (trust=90)
  SEED Greeley, CO [plumbing] = $2,600 (trust=90)
  SEED Greeley, CO [electrical] = $2,600 (trust=90)
  SEED Greeley, CO [solar] = $29,900 (trust=90)
... 100/739 cities processed (447 seeded, 53 skipped)
  SEED Lakewood, CO [roofing] = $13,600 (trust=90)
  SEED Lakewood, CO [hvac] = $10,700 (trust=90)
  SEED Lakewood, CO [plumbing] = $2,800 (trust=90)
  SEED Lakewood, CO [electrical] = $2,800 (trust=90)
