priority,canonicalQuery,vertical,intent,template,memberCount,newPageNeeded,existingPage,variants
130.0,"how much does kitchen renovation cost",kitchen-remodel,commercial,table-led,5,true,,"how much does kitchen renovation cost | how much does a kitchen renovation cost | small kitchen renovation cost | kitchen renovation cost calculator | ikea kitchen renovation cost"
130.0,"home depot garage door installation cost",garage-door,commercial,table-led,1,true,,"home depot garage door installation cost"
130.0,"car transmission repair cost",auto-repair,commercial,table-led,2,true,,"car transmission repair cost | how much does transmission repair cost"
130.0,"eye surgery cost",medical,commercial,table-led,4,true,,"eye surgery cost | lasik eye surgery cost | eye laser surgery cost | how much does laser eye surgery cost"
128.0,"chain link fence cost",fence,commercial,table-led,4,true,,"chain link fence cost | chain fence cost | chain link fence installation cost | how much does a chain link fence cost"
126.0,"tankless water heater cost",plumbing,commercial,table-led,2,true,,"tankless water heater cost | how much does a tankless water heater cost"
126.0,"home solar installation cost",solar,commercial,table-led,1,true,,"home solar installation cost"
125.0,"lowes garage door installation cost",garage-door,commercial,table-led,1,true,,"lowes garage door installation cost"
122.0,"wood fence installation cost",fence,commercial,table-led,4,true,,"wood fence installation cost | wood fence cost | how much does a wood fence cost | wood fence cost calculator"
122.0,"gutter cost per foot",gutter,commercial,table-led,3,true,,"gutter cost per foot | gutter replacement cost per foot | gutter cost per linear foot"
120.0,"fence installation cost per foot",fence,commercial,table-led,1,true,,"fence installation cost per foot"
119.0,"house siding cost",siding,commercial,table-led,1,true,,"house siding cost"
116.0,"spray insulation cost",insulation,commercial,table-led,3,true,,"spray insulation cost | spray in insulation cost | how much does spray insulation cost"
114.0,"auto repair costs",auto-repair,commercial,table-led,1,true,,"auto repair costs"
113.0,"vinyl fence cost per foot",fence,commercial,table-led,1,true,,"vinyl fence cost per foot"
113.0,"front brake job cost",auto-repair,commercial,table-led,1,true,,"front brake job cost"
112.0,"privacy fence cost",fence,commercial,table-led,3,true,,"privacy fence cost | privacy fence installation cost | how much does a privacy fence cost"
111.0,"replacement window quote",window,transactional,transactional,1,true,,"replacement window quote"
110.0,"average hvac cost",hvac,commercial,table-led,1,true,,"average hvac cost"
110.0,"bathroom remodel cost",kitchen-remodel,commercial,table-led,1,true,,"bathroom remodel cost"
109.0,"gas furnace cost",hvac,commercial,table-led,2,true,,"gas furnace cost | how much does a gas furnace cost"
104.0,"replace roof cost",roof,commercial,table-led,2,true,,"replace roof cost | cost to replace roof"
103.0,"how much does siding cost",siding,commercial,table-led,2,true,,"how much does siding cost | new siding cost"
102.0,"home depot fence installation cost",fence,commercial,table-led,1,true,,"home depot fence installation cost"
100.0,"average plumbing cost",plumbing,commercial,table-led,1,true,,"average plumbing cost"
100.0,"house painting",painting,commercial,table-led,1,true,,"house painting"
100.0,"replacement windows",window,commercial,table-led,1,true,,"replacement windows"
100.0,"glass window replacement",window,commercial,table-led,2,true,,"glass window replacement | glass window replacement cost"
100.0,"bathroom renovation",kitchen-remodel,commercial,table-led,1,true,,"bathroom renovation"
99.0,"standing seam metal roof cost",roof,commercial,table-led,1,false,standing-seam-metal-roof-cost.html,"standing seam metal roof cost"
99.0,"metal roof cost per square",roof,commercial,table-led,3,true,,"metal roof cost per square | metal roof cost per square foot | new roof cost per square"
98.0,"plumbing estimate software",plumbing,transactional,transactional,1,true,,"plumbing estimate software"
97.0,"average plumber cost",plumbing,commercial,table-led,1,true,,"average plumber cost"
96.0,"driveway concrete cost",concrete,commercial,table-led,1,true,,"driveway concrete cost"
96.0,"how much does insulation cost",insulation,commercial,table-led,1,true,,"how much does insulation cost"
96.0,"lasik surgery cost",medical,commercial,table-led,1,true,,"lasik surgery cost"
94.0,"liftmaster garage door opener cost",garage-door,commercial,table-led,1,true,,"liftmaster garage door opener cost"
93.0,"spray foam attic insulation cost",insulation,commercial,table-led,1,true,,"spray foam attic insulation cost"
90.0,"concrete cost calculator",concrete,transactional,transactional,3,true,,"concrete cost calculator | concrete patio cost calculator | stamped concrete cost calculator"
90.0,"vinyl siding cost per square",siding,commercial,table-led,2,true,,"vinyl siding cost per square | vinyl siding cost per square foot"
90.0,"car repair near me",auto-repair,commercial,table-led,2,true,,"car repair near me | car ac repair near me"
89.0,"average furnace cost",hvac,commercial,table-led,1,true,,"average furnace cost"
88.0,"replace hvac cost",hvac,commercial,table-led,1,true,,"replace hvac cost"
87.0,"window replacement cost car",window,commercial,table-led,14,true,,"window replacement cost car | home window replacement cost | house window replacement cost | how much does window replacement cost | average cost of window replacement | rear window replacement cost | side window replacement cost | how much does a window replacement cost | auto window replacement cost | back window replacement cost | front window replacement cost | passenger window replacement cost | window replacement cost per window | window replacement cost calculator"
86.0,"average ac replacement cost",hvac,commercial,table-led,1,true,,"average ac replacement cost"
86.0,"lowes fence installation cost",fence,commercial,table-led,1,true,,"lowes fence installation cost"
86.0,"plastic surgery cost",medical,commercial,table-led,1,true,,"plastic surgery cost"
85.0,"home ac replacement cost",hvac,commercial,table-led,1,true,,"home ac replacement cost"
83.0,"gas water heater cost",plumbing,commercial,table-led,1,true,,"gas water heater cost"
83.0,"ac car repair cost",auto-repair,commercial,table-led,1,true,,"ac car repair cost"
82.0,"metal roof cost vs shingles",roof,commercial,comparison,1,true,,"metal roof cost vs shingles"
80.0,"replace furnace cost",hvac,commercial,table-led,2,true,,"replace furnace cost | furnace cost to replace"
80.0,"bathroom remodel",kitchen-remodel,commercial,table-led,1,true,,"bathroom remodel"
79.0,"average water heater cost",plumbing,commercial,table-led,1,true,,"average water heater cost"
79.0,"kitchen renovation costs",kitchen-remodel,commercial,table-led,1,true,,"kitchen renovation costs"
78.0,"3 ton heat pump cost",hvac,commercial,table-led,1,true,,"3 ton heat pump cost"
77.0,"yard of concrete cost",concrete,commercial,table-led,3,true,,"yard of concrete cost | how much is a yard of concrete cost | how much does concrete cost per yard"
76.0,"roof cost per square foot",roof,commercial,table-led,3,true,,"roof cost per square foot | roof replacement cost per square foot | new roof cost per square foot"
76.0,"solar panel cost",solar,commercial,table-led,1,true,,"solar panel cost"
76.0,"window quote online",window,transactional,transactional,1,true,,"window quote online"
76.0,"car scratch repair cost",auto-repair,commercial,table-led,2,true,,"car scratch repair cost | car paint scratch repair cost"
76.0,"moving cost calculator",moving,transactional,transactional,1,true,,"moving cost calculator"
75.0,"seamless gutter cost",gutter,commercial,table-led,1,true,,"seamless gutter cost"
74.0,"driveway cost per square foot",concrete,commercial,table-led,1,true,,"driveway cost per square foot"
74.0,"piano mover cost",moving,commercial,table-led,1,true,,"piano mover cost"
73.0,"hvac replacement cost",hvac,commercial,table-led,1,false,hvac-replacement-cost-guide.html,"hvac replacement cost"
73.0,"new gutter cost",gutter,commercial,table-led,1,true,,"new gutter cost"
72.0,"solar roof cost",roof,commercial,table-led,1,true,,"solar roof cost"
72.0,"insulation cost per square foot",insulation,commercial,table-led,1,true,,"insulation cost per square foot"
71.0,"home furnace cost",hvac,commercial,table-led,1,true,,"home furnace cost"
71.0,"home insulation cost",insulation,commercial,table-led,1,true,,"home insulation cost"
71.0,"rain gutter cost",gutter,commercial,table-led,1,true,,"rain gutter cost"
70.0,"how much does bariatric surgery cost",medical,commercial,table-led,1,true,,"how much does bariatric surgery cost"
69.0,"furnace and ac replacement cost",hvac,commercial,table-led,1,true,,"furnace and ac replacement cost"
69.0,"shingle roof cost",roof,commercial,table-led,1,true,,"shingle roof cost"
69.0,"electric water heater cost",plumbing,commercial,table-led,1,true,,"electric water heater cost"
68.0,"fence cost calculator",fence,transactional,transactional,1,true,,"fence cost calculator"
68.0,"siding cost per square foot",siding,commercial,table-led,1,true,,"siding cost per square foot"
67.0,"4 ton heat pump cost",hvac,commercial,table-led,1,true,,"4 ton heat pump cost"
67.0,"replace water heater cost",plumbing,commercial,table-led,1,true,,"replace water heater cost"
67.0,"breast surgery cost",medical,commercial,table-led,2,true,,"breast surgery cost | breast reduction surgery cost"
66.0,"heating furnace cost",hvac,commercial,table-led,1,true,,"heating furnace cost"
66.0,"paving driveway cost",concrete,commercial,table-led,1,true,,"paving driveway cost"
66.0,"driveway cost calculator",concrete,transactional,transactional,2,true,,"driveway cost calculator | gravel driveway cost calculator"
66.0,"how much does spray foam cost",insulation,commercial,table-led,1,true,,"how much does spray foam cost"
65.0,"5 ton heat pump cost",hvac,commercial,table-led,1,true,,"5 ton heat pump cost"
64.0,"50 gallon water heater cost",plumbing,commercial,table-led,1,true,,"50 gallon water heater cost"
64.0,"vinyl fence cost vs wood",fence,commercial,comparison,2,true,,"vinyl fence cost vs wood | vinyl vs wood fence cost"
63.0,"roof cost calculator",roof,transactional,transactional,2,false,roof-cost-calculator.html,"roof cost calculator | new roof cost calculator"
63.0,"moving company costs",moving,commercial,table-led,1,true,,"moving company costs"
62.0,"professional painter cost",painting,commercial,table-led,1,true,,"professional painter cost"
62.0,"house painting quote",painting,transactional,transactional,1,true,,"house painting quote"
62.0,"pod moving cost",moving,commercial,table-led,1,true,,"pod moving cost"
61.0,"price of concrete per square foot",concrete,commercial,table-led,1,true,,"price of concrete per square foot"
61.0,"house insulation cost",insulation,commercial,table-led,1,true,,"house insulation cost"
60.0,"hvac cost per square foot",hvac,commercial,table-led,1,true,,"hvac cost per square foot"
60.0,"house furnace cost",hvac,commercial,table-led,1,true,,"house furnace cost"
60.0,"gutter replacement cost estimator",gutter,commercial,table-led,1,true,,"gutter replacement cost estimator"
60.0,"moving costs",moving,commercial,table-led,1,true,,"moving costs"
59.0,"spray foam cost per square foot",insulation,commercial,table-led,1,true,,"spray foam cost per square foot"
59.0,"car repair costs",auto-repair,commercial,table-led,1,true,,"car repair costs"
59.0,"estate planning costs",legal,commercial,table-led,1,true,,"estate planning costs"
58.0,"oil furnace cost",hvac,commercial,table-led,1,true,,"oil furnace cost"
58.0,"pave driveway cost",concrete,commercial,table-led,1,true,,"pave driveway cost"
57.0,"water furnace cost",hvac,commercial,table-led,1,true,,"water furnace cost"
57.0,"painter cost per hour",painting,commercial,table-led,1,true,,"painter cost per hour"
56.0,"concrete calculator",concrete,transactional,transactional,1,true,,"concrete calculator"
56.0,"hardie siding cost",siding,commercial,table-led,3,true,,"hardie siding cost | hardie board siding cost | james hardie siding cost"
55.0,"wooden fence cost",fence,commercial,table-led,2,true,,"wooden fence cost | how much does a wooden fence cost"
55.0,"exterior house painting cost per square foot",painting,commercial,table-led,1,true,,"exterior house painting cost per square foot"
55.0,"car window replacement",window,commercial,table-led,1,true,,"car window replacement"
55.0,"full brake job cost",auto-repair,commercial,table-led,1,true,,"full brake job cost"
54.0,"plumber cost per hour",plumbing,commercial,table-led,2,true,,"plumber cost per hour | average plumber cost per hour"
54.0,"electric furnace cost",hvac,commercial,table-led,1,true,,"electric furnace cost"
54.0,"roof repair cost",roof,commercial,table-led,1,true,,"roof repair cost"
54.0,"pool fence cost",fence,commercial,table-led,1,true,,"pool fence cost"
54.0,"how much does a criminal lawyer cost",legal,commercial,table-led,1,true,,"how much does a criminal lawyer cost"
53.0,"water heater cost home depot",plumbing,commercial,table-led,1,true,,"water heater cost home depot"
53.0,"wood siding cost",siding,commercial,table-led,1,true,,"wood siding cost"
53.0,"vinyl siding cost home depot",siding,commercial,table-led,1,true,,"vinyl siding cost home depot"
53.0,"home depot kitchen remodel cost",kitchen-remodel,commercial,table-led,1,true,,"home depot kitchen remodel cost"
52.0,"cataract surgery cost",medical,commercial,table-led,2,true,,"cataract surgery cost | how much does cataract surgery cost"
52.0,"iron fence cost",fence,commercial,table-led,1,true,,"iron fence cost"
52.0,"how much does top surgery cost",medical,commercial,table-led,1,true,,"how much does top surgery cost"
51.0,"blacktop driveway cost",concrete,commercial,table-led,1,true,,"blacktop driveway cost"
51.0,"heated driveway cost",concrete,commercial,table-led,1,true,,"heated driveway cost"
51.0,"insulation cost calculator",insulation,transactional,transactional,1,true,,"insulation cost calculator"
50.0,"roof replacement cost per square",roof,commercial,table-led,1,true,,"roof replacement cost per square"
50.0,"solar quotes",solar,commercial,table-led,1,true,,"solar quotes"
50.0,"ac repair",auto-repair,commercial,table-led,1,true,,"ac repair"
50.0,"vsg surgery cost",medical,commercial,table-led,1,true,,"vsg surgery cost"
50.0,"ptosis surgery cost",medical,commercial,table-led,1,true,,"ptosis surgery cost"
50.0,"forehead reduction surgery cost",medical,commercial,table-led,1,true,,"forehead reduction surgery cost"
49.1,"strabismus surgery cost",medical,commercial,table-led,1,true,,"strabismus surgery cost"
48.2,"vaginal rejuvenation surgery cost",medical,commercial,table-led,1,true,,"vaginal rejuvenation surgery cost"
48.0,"plumbing cost calculator",plumbing,transactional,transactional,1,true,,"plumbing cost calculator"
48.0,"wall insulation cost",insulation,commercial,table-led,1,true,,"wall insulation cost"
48.0,"brake job cost near me",auto-repair,commercial,table-led,1,true,,"brake job cost near me"
48.0,"luxating patella surgery cost",medical,commercial,table-led,1,true,,"luxating patella surgery cost"
47.5,"ingrown toenail surgery cost",medical,commercial,table-led,1,true,,"ingrown toenail surgery cost"
47.0,"get solar quote",solar,transactional,transactional,1,true,,"get solar quote"
47.0,"wedding painter cost",painting,commercial,table-led,1,true,,"wedding painter cost"
47.0,"aluminum fence cost",fence,commercial,table-led,1,true,,"aluminum fence cost"
47.0,"cedar siding cost",siding,commercial,table-led,1,true,,"cedar siding cost"
47.0,"immigration lawyer cost",legal,commercial,table-led,1,true,,"immigration lawyer cost"
46.0,"free solar quote",solar,transactional,transactional,1,true,,"free solar quote"
46.0,"cement siding cost",siding,commercial,table-led,2,true,,"cement siding cost | cement board siding cost"
46.0,"fiberglass insulation cost",insulation,commercial,table-led,1,true,,"fiberglass insulation cost"
46.0,"roof insulation cost",insulation,commercial,table-led,1,true,,"roof insulation cost"
46.0,"nose surgery cost",medical,commercial,table-led,1,true,,"nose surgery cost"
45.0,"family lawyer cost",legal,commercial,table-led,2,true,,"family lawyer cost | how much does a family lawyer cost"
45.0,"weight loss surgery cost",medical,commercial,table-led,2,true,,"weight loss surgery cost | how much does weight loss surgery cost"
45.0,"detroit people mover cost",moving,commercial,table-led,1,true,,"detroit people mover cost"
44.0,"solar panel",solar,commercial,table-led,1,true,,"solar panel"
44.0,"poured concrete patio cost",concrete,commercial,table-led,1,true,,"poured concrete patio cost"
44.0,"metal siding cost",siding,commercial,table-led,1,true,,"metal siding cost"
44.0,"blow in insulation cost",insulation,commercial,table-led,1,true,,"blow in insulation cost"
44.0,"small kitchen remodel",kitchen-remodel,commercial,table-led,1,true,,"small kitchen remodel"
44.0,"hail damage car repair cost",auto-repair,commercial,table-led,1,true,,"hail damage car repair cost"
44.0,"long distance moving cost",moving,commercial,table-led,1,true,,"long distance moving cost"
43.0,"water heater installation",plumbing,commercial,table-led,1,true,,"water heater installation"
43.0,"brick siding cost",siding,commercial,table-led,1,true,,"brick siding cost"
43.0,"dui lawyer cost",legal,commercial,table-led,1,true,,"dui lawyer cost"
43.0,"knee surgery cost",medical,commercial,table-led,1,true,,"knee surgery cost"
42.0,"ivdd surgery cost",medical,commercial,table-led,1,true,,"ivdd surgery cost"
42.0,"lap band surgery cost",medical,commercial,table-led,2,true,,"lap band surgery cost | how much does lap band surgery cost"
42.0,"custody lawyer cost",legal,commercial,table-led,2,true,,"custody lawyer cost | how much does a custody lawyer cost"
42.0,"plumbing costs",plumbing,commercial,table-led,1,true,,"plumbing costs"
42.0,"water heater replacement",plumbing,commercial,table-led,1,true,,"water heater replacement"
42.0,"garage insulation cost",insulation,commercial,table-led,1,true,,"garage insulation cost"
42.0,"eyelid surgery cost",medical,commercial,table-led,1,true,,"eyelid surgery cost"
42.0,"hernia surgery cost",medical,commercial,table-led,1,true,,"hernia surgery cost"
42.0,"tummy tuck surgery cost",medical,commercial,table-led,1,true,,"tummy tuck surgery cost"
41.0,"car door dent repair cost",auto-repair,commercial,table-led,1,true,,"car door dent repair cost"
41.0,"bankruptcy lawyer cost",legal,commercial,table-led,1,true,,"bankruptcy lawyer cost"
40.0,"plumbing cost for new house",plumbing,commercial,table-led,1,true,,"plumbing cost for new house"
40.0,"repave driveway cost",concrete,commercial,table-led,1,true,,"repave driveway cost"
40.0,"closed cell spray foam cost",insulation,commercial,table-led,1,true,,"closed cell spray foam cost"
40.0,"kitchen remodel costs",kitchen-remodel,commercial,table-led,1,true,,"kitchen remodel costs"
40.0,"coolant leak repair cost",auto-repair,commercial,table-led,1,true,,"coolant leak repair cost"
40.0,"traffic lawyer cost",legal,commercial,table-led,1,true,,"traffic lawyer cost"
40.0,"real estate lawyer cost",legal,commercial,table-led,1,true,,"real estate lawyer cost"
39.0,"resurface driveway cost",concrete,commercial,table-led,1,true,,"resurface driveway cost"
39.0,"goodfellas painting quote",painting,transactional,transactional,2,true,,"goodfellas painting quote | goodfellas dog painting quote"
39.0,"painting quote template",painting,transactional,transactional,1,true,,"painting quote template"
38.0,"skin removal surgery cost",medical,commercial,table-led,2,true,,"skin removal surgery cost | how much does skin removal surgery cost"
38.0,"new roof cost florida",roof,commercial,table-led,1,true,,"new roof cost florida"
38.0,"new construction plumbing cost",plumbing,commercial,table-led,1,true,,"new construction plumbing cost"
38.0,"emergency plumber cost",plumbing,commercial,table-led,1,true,,"emergency plumber cost"
38.0,"pressure wash driveway cost",concrete,commercial,table-led,1,true,,"pressure wash driveway cost"
38.0,"privacy fence cost per foot",fence,commercial,table-led,1,true,,"privacy fence cost per foot"
38.0,"brick fence cost",fence,commercial,table-led,1,true,,"brick fence cost"
38.0,"double pane window replacement cost",window,commercial,table-led,1,true,,"double pane window replacement cost"
38.0,"crawl space insulation cost",insulation,commercial,table-led,1,true,,"crawl space insulation cost"
37.0,"heat pump water heater cost",plumbing,commercial,table-led,1,true,,"heat pump water heater cost"
37.0,"paved driveway cost",concrete,commercial,table-led,1,true,,"paved driveway cost"
37.0,"whole house painting cost",painting,commercial,table-led,1,true,,"whole house painting cost"
37.0,"driver side window replacement cost",window,commercial,table-led,1,true,,"driver side window replacement cost"
37.0,"probate lawyer cost",legal,commercial,table-led,1,true,,"probate lawyer cost"
36.0,"high efficiency furnace cost",hvac,commercial,table-led,1,true,,"high efficiency furnace cost"
36.0,"plumber cost to snake a drain",plumbing,commercial,table-led,1,true,,"plumber cost to snake a drain"
36.0,"electrician costs",electrical,commercial,table-led,1,true,,"electrician costs"
36.0,"home solar panels",solar,commercial,table-led,2,true,,"home solar panels | solar panels for home"
36.0,"polished concrete cost",concrete,commercial,table-led,1,true,,"polished concrete cost"
36.0,"asphalt vs concrete driveway cost",concrete,commercial,comparison,1,true,,"asphalt vs concrete driveway cost"
36.0,"board and batten siding cost",siding,commercial,table-led,1,true,,"board and batten siding cost"
35.0,"pressure washing driveway cost",concrete,commercial,table-led,1,true,,"pressure washing driveway cost"
35.0,"house painting cost estimator",painting,commercial,table-led,1,true,,"house painting cost estimator"
35.0,"strong foundation quotes",foundation,commercial,table-led,1,true,,"strong foundation quotes"
35.0,"speeding ticket lawyer cost",legal,commercial,table-led,1,true,,"speeding ticket lawyer cost"
35.0,"personal injury lawyer cost",legal,commercial,table-led,1,true,,"personal injury lawyer cost"
35.0,"bbl surgery cost",medical,commercial,table-led,1,true,,"bbl surgery cost"
34.0,"solar panels cost per watt",solar,commercial,table-led,1,true,,"solar panels cost per watt"
33.0,"roofing",roof,commercial,table-led,1,true,,"roofing"
33.0,"gyno surgery cost",medical,commercial,table-led,1,true,,"gyno surgery cost"
33.0,"labiaplasty surgery cost",medical,commercial,table-led,1,true,,"labiaplasty surgery cost"
33.0,"double chin surgery cost",medical,commercial,table-led,1,true,,"double chin surgery cost"
32.0,"lp smart siding cost",siding,commercial,table-led,1,true,,"lp smart siding cost"
32.0,"window replacement near me",window,commercial,table-led,1,true,,"window replacement near me"
32.0,"brazilian butt lift surgery cost",medical,commercial,table-led,1,true,,"brazilian butt lift surgery cost"
28.0,"solar energy",solar,commercial,table-led,1,true,,"solar energy"
27.0,"hardie siding",siding,commercial,table-led,1,true,,"hardie siding"
19.0,"auto repair near me",auto-repair,commercial,table-led,1,true,,"auto repair near me"
18.0,"solar system",solar,commercial,table-led,1,true,,"solar system"
13.0,"foundation repair near me",foundation,commercial,table-led,1,true,,"foundation repair near me"
12.0,"best solar panels",solar,commercial,table-led,1,true,,"best solar panels"
